,dataSet,accuracy_df,accuracy_rf,f1_df,f1_rf,precision_df,precision_rf,classes_type,data_std,time_cost,feature_num,data_num
139,spectf,0.916935817805383,0.9255072463768116,0.9105444490781887,0.9243528726868858,0.9262457745222996,0.9301191416134194,2,0.22779369627507162,6.853271961212158,45,349
140,splice,0.9651781715821125,0.9545149431848939,0.9652237571712755,0.9545168646729361,0.965499244665233,0.9548056683541499,3,0.13138265078857794,16.727423906326294,61,3188
141,tae,0.5221505376344086,0.569247311827957,0.4950684229315979,0.5549364761648308,0.5066082934389387,0.5697202658189375,3,0.008259729330626795,4.996487855911255,6,151
142,texture,0.9858181818181817,0.9772727272727273,0.985839487805268,0.9772967616007733,0.9860683398429831,0.9776710225659426,11,0.0,40.06203317642212,41,5500
143,threeOf9,0.9902341519131925,0.992194936226918,0.9902433604150698,0.9922065989218314,0.9905929136327579,0.9924454505944329,2,0.03515625,4.19003701210022,10,512
144,tic-tac-toe,0.9926974258289704,0.9384489528795813,0.9926954272890013,0.9364397811019971,0.9927778715281361,0.9441960796595039,2,0.1534446764091858,7.12566876411438,10,958
145,titanic,0.7882776747062461,0.7891857349000206,0.762783480817901,0.7583552978324852,0.8065014779057588,0.8174564598860613,2,0.17696501590186278,11.524250984191895,4,2201
146,tokyo1,0.9311572862129145,0.9269960732984293,0.930981338654604,0.9269373064337987,0.9318674987754461,0.9274100785496382,2,0.1392075078206465,7.277095079421997,45,959
147,twonorm,0.9727027027027028,0.9706756756756757,0.9727015264401953,0.9706758888810217,0.9727357692390687,0.9707177804126363,2,0.000405405405405429,48.81897306442261,21,7400
148,vehicle,0.7824782457361643,0.7422554820744866,0.7763257537309197,0.7330913477738197,0.7800821719059885,0.731980499142457,4,0.00894370328039098,7.851456165313721,19,846
149,vote,0.9494252873563218,0.9517241379310345,0.9493841781877566,0.9517245378591743,0.9494525830766534,0.9520968291512826,2,0.11379310344827587,3.9874629974365234,17,435
150,vowel,0.9787878787878788,0.9646464646464648,0.9787128750701051,0.9644541254080539,0.9803308421406977,0.9673403332367265,11,0.0,7.905695915222168,14,990
151,waveform-21,0.8596,0.8506,0.85890604095441,0.8500999596510571,0.8605954144377895,0.8512122294988828,3,0.004227949332188777,28.364409923553467,22,5000
152,waveform-40,0.8586,0.8538,0.8579800439413555,0.8531781615362195,0.8604654757785226,0.8554927495725032,3,0.003586394041683389,44.605592012405396,41,5000
153,wdbc,0.9630336904207422,0.9560006210215806,0.962983217578314,0.9559749032008675,0.9643088790712833,0.9565128092327748,2,0.12741652021089633,5.307507276535034,31,569
154,wine-quality-red,0.6985756269592478,0.6998334639498432,0.679691739552189,0.6808206510223356,0.669721679355501,0.669962619746752,6,0.1782648306503761,9.858581781387329,12,1599
155,wine-quality-white,0.694457639049905,0.686484894439675,0.6828680028358741,0.6745427879136381,0.7060283783388244,0.6981525771678794,6,0.16255530018455316,32.83715200424194,12,4893
156,wine-recognition,0.9831746031746033,0.9831746031746033,0.9835089782627507,0.9835089782627507,0.9859163059163059,0.9859163059163059,3,0.05276780076256692,3.515528917312622,14,178
157,xd6,1.0,1.0,1.0,1.0,1.0,1.0,2,0.16906474820143882,3.9255311489105225,10,973
158,yeast,0.6186852954649564,0.614626660558864,0.609642474520068,0.6056822830159807,0.6150715823877543,0.6098961120303394,9,0.11235650818422717,10.285881996154785,9,1479
